show_id,show_label,band_id,band_name,performer_name_raw,performer_name_clean,role_raw,role_clean,source_line
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve-main-band-debut,Strikes Twelve (Main Band - Debut),Saskia Gaucher,Saskia Gaucher,lead vocals,lead vocals,58
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve-main-band-debut,Strikes Twelve (Main Band - Debut),Vanessa Salvo,Vanessa Salvo,guitar/bass,guitar; bass,59
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve-main-band-debut,Strikes Twelve (Main Band - Debut),Vincent Freeman,Vincent Freeman,guitar/bass,guitar; bass,60
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve-main-band-debut,Strikes Twelve (Main Band - Debut),Katie Simco,Katie Simco,guitar/bass,guitar; bass,61
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve-main-band-debut,Strikes Twelve (Main Band - Debut),Phil Vennat,Phil Vennat,drums,drums,62
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve-main-band-debut,Strikes Twelve (Main Band - Debut),Perfect Situation,Perfect Situation,Weezer,Weezer,65
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve-main-band-debut,Strikes Twelve (Main Band - Debut),Sorry,Sorry,Strikes Twelve (original),Strikes Twelve (original),66
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve-main-band-debut,Strikes Twelve (Main Band - Debut),Are You Gonna Be My Girl,Are You Gonna Be My Girl,Jet,Jet,67
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve-main-band-debut,Strikes Twelve (Main Band - Debut),Otherside,Otherside,The Red Hot Chili Peppers,The Red Hot Chili Peppers,68
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve-main-band-debut,Strikes Twelve (Main Band - Debut),Smells Like Teen Spirit,Smells Like Teen Spirit,Nirvana,Nirvana,69
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-the-soundwiches-guest-band,The Soundwiches (Guest Band),Sam Gyetvay,Sam Gyetvay,guitar/vocals,guitar; vocals,72
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-the-soundwiches-guest-band,The Soundwiches (Guest Band),Joj Helfer,Joj Helfer,drums/vocals,drums; vocals,73
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-the-soundwiches-guest-band,The Soundwiches (Guest Band),Zander Smith,Zander Smith,bass,bass,74
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-the-soundwiches-guest-band,The Soundwiches (Guest Band),Sam Trowbridge,Sam Trowbridge,trumpet,trumpet,75
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-the-soundwiches-guest-band,The Soundwiches (Guest Band),Fish,Fish,saxophone,saxophone,76
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-velvet-goldmine-guest-band,Velvet Goldmine (Guest Band),Corey Lesk,Corey Lesk,guitar/vocals,guitar; vocals,79
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-velvet-goldmine-guest-band,Velvet Goldmine (Guest Band),Austin Tex,Austin Tex,guitar,guitar,80
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-velvet-goldmine-guest-band,Velvet Goldmine (Guest Band),Noah Barer,Noah Barer,drums,drums,81
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-velvet-goldmine-guest-band,Velvet Goldmine (Guest Band),"Alex ""The Pompadour"" Kasirer-Smibert","Alex ""The Pompadour"" Kasirer-Smibert",bass,bass,82
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-velvet-goldmine-guest-band,Velvet Goldmine (Guest Band),William Batory-Bernardin,William Batory-Bernardin,keyboards,keyboards,83
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-jay-hawks,The Jay Hawks,Rachelle Lapointe,Rachelle Lapointe,vocals/guitar,vocals; guitar,98
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-jay-hawks,The Jay Hawks,Sébastien Latraverse,Sébastien Latraverse,bass,bass,99
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-jay-hawks,The Jay Hawks,Nicolas Latraverse,Nicolas Latraverse,keyboards,keyboards,100
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-jay-hawks,The Jay Hawks,Jon,Jon,drums,drums,101
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-mama-and-papa-so-mean,Mama and Papa so Mean,Lee-Ann Matthews,Lee-Ann Matthews,vocals,vocals,104
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-mama-and-papa-so-mean,Mama and Papa so Mean,Tina Hart,Tina Hart,vocals,vocals,105
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-mama-and-papa-so-mean,Mama and Papa so Mean,Wayne Hemsworth,Wayne Hemsworth,guitar,guitar,106
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-mama-and-papa-so-mean,Mama and Papa so Mean,Nick Hemsworth,Nick Hemsworth,guitar,guitar,107
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-mama-and-papa-so-mean,Mama and Papa so Mean,Arnold Dort,Arnold Dort,bass,bass,108
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-mama-and-papa-so-mean,Mama and Papa so Mean,Peter Schmidt,Peter Schmidt,drums,drums,109
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Jiwon Shin,Jiwon Shin,vocals,vocals,112
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Audrey Leduc,Audrey Leduc,vocals,vocals,113
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Simon Durham,Simon Durham,guitar,guitar,114
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Linda Durham,Linda Durham,keyboards,keyboards,115
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Julia Durham,Julia Durham,guitar,guitar,116
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Emma Durham,Emma Durham,guitar,guitar,117
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u-square-root-u,√root U (Square Root U),Doug Stein,Doug Stein,drums,drums,118
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-daft-devils,The Daft Devils,Mario Giulione,Mario Giulione,vocals,vocals,121
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-daft-devils,The Daft Devils,Dr. Robert Drummond,Dr. Robert Drummond,guitar,guitar,122
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-daft-devils,The Daft Devils,Kenny Drummond,Kenny Drummond,guitar,guitar,123
