show_id,show_label,band_id,band_name,performer_name,roles
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-dsi,DSI,Mario Giulione,vocals
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-dsi,DSI,Doug Stein,drums
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-dsi,DSI,Steve,bass
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-papa-so-mean,Papa So Mean,Bill Kreklewetz,guitar
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-papa-so-mean,Papa So Mean,Drew Krip,Bass
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-papa-so-mean,Papa So Mean,Joanne Hannan,vocals
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-papa-so-mean,Papa So Mean,Peter Schmidt,Drums
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-papa-so-mean,Papa So Mean,Rick Collins,lead vocals
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-papa-so-mean,Papa So Mean,Wayne Hemsworth,guitar
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-the-soundwiches,The Soundwiches,Joj Helfer,Drums; Vocals
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-the-soundwiches,The Soundwiches,Nic Perry,Trombone
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-the-soundwiches,The Soundwiches,Sam Gyetvay,Guitar; Vocals
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-the-soundwiches,The Soundwiches,Sam Trowbridge,Trumpet
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-the-soundwiches,The Soundwiches,Zander Smith,Bass
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-warped-verdict,Warped Verdict,Chloe Soldevila,keyboards and back up vocals
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-warped-verdict,Warped Verdict,Jordy Soldevila,guitar
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-warped-verdict,Warped Verdict,Laura Holden,bass
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-warped-verdict,Warped Verdict,Ryan Luxenberg,guitar
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-warped-verdict,Warped Verdict,Sophie Doyle,lead vocals
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-warped-verdict,Warped Verdict,William Gaucher,drums
