band_id,show_id,show_label,band_name_raw,band_name_clean,is_solo,source_line
lftg-1-2006-warped-verdict,lftg-1-2006,LFTG 1 (2006),Warped Verdict,Warped Verdict,no,956
lftg-1-2006-the-soundwiches,lftg-1-2006,LFTG 1 (2006),The Soundwiches,The Soundwiches,no,970
lftg-1-2006-papa-so-mean,lftg-1-2006,LFTG 1 (2006),Papa So Mean,Papa So Mean,no,977
lftg-1-2006-dsi,lftg-1-2006,LFTG 1 (2006),DSI,DSI,no,985
lftg-2-2006-strikes-twelve,lftg-2-2006,LFTG 2 (2006),Strikes Twelve,Strikes Twelve,no,57
lftg-2-2006-the-soundwiches,lftg-2-2006,LFTG 2 (2006),The Soundwiches,The Soundwiches,no,71
lftg-2-2006-velvet-goldmine,lftg-2-2006,LFTG 2 (2006),Velvet Goldmine,Velvet Goldmine,no,78
lftg-3-2007-the-jay-hawks,lftg-3-2007,LFTG 3 (2007),The Jay Hawks,The Jay Hawks,no,97
lftg-3-2007-mama-and-papa-so-mean,lftg-3-2007,LFTG 3 (2007),Mama and Papa so Mean,Mama and Papa so Mean,no,103
lftg-3-2007-root-u,lftg-3-2007,LFTG 3 (2007),√root U,√root U,no,111
lftg-3-2007-the-daft-devils,lftg-3-2007,LFTG 3 (2007),The Daft Devils,The Daft Devils,no,120
lftg-3-2007-the-wet-straps,lftg-3-2007,LFTG 3 (2007),The Wet Straps,The Wet Straps,no,128
lftg-4-2007-root-u,lftg-4-2007,LFTG 4 (2007),√root U,√root U,no,148
lftg-4-2007-the-j-stein-blues-experience,lftg-4-2007,LFTG 4 (2007),The J. STEIN BLUES EXPERIENCE!,The J. STEIN BLUES EXPERIENCE!,no,157
lftg-4-2007-the-crumb-snatchers,lftg-4-2007,LFTG 4 (2007),The Crumb Snatchers,The Crumb Snatchers,no,166
lftg-4-2007-above-the-clinic,lftg-4-2007,LFTG 4 (2007),Above The Clinic,Above The Clinic,no,172
lftg-4-2007-the-daft-devils,lftg-4-2007,LFTG 4 (2007),The Daft Devils,The Daft Devils,no,179
lftg-4-2007-the-falling-project,lftg-4-2007,LFTG 4 (2007),The Falling Project,The Falling Project,no,187
lftg-5-2008-the-j-stein-blues-experience,lftg-5-2008,LFTG 5 (2008),The J. STEIN BLUES EXPERIENCE!,The J. STEIN BLUES EXPERIENCE!,no,215
lftg-5-2008-cardova,lftg-5-2008,LFTG 5 (2008),Cardova,Cardova,no,215
lftg-5-2008-breaking-tables,lftg-5-2008,LFTG 5 (2008),Breaking Tables,Breaking Tables,no,224
lftg-5-2008-the-falling-project,lftg-5-2008,LFTG 5 (2008),The Falling Project,The Falling Project,no,234
lftg-5-2008-the-daft-devils,lftg-5-2008,LFTG 5 (2008),The Daft Devils,The Daft Devils,no,242
lftg-6-2008-u2-tribute,lftg-6-2008,LFTG 6 (2008),U2 Tribute,U2 Tribute,no,263
lftg-6-2008-jack-johnson-tribute,lftg-6-2008,LFTG 6 (2008),Jack Johnson Tribute,Jack Johnson Tribute,no,269
lftg-6-2008-tribute-to-the-kings,lftg-6-2008,LFTG 6 (2008),Tribute To The Kings,Tribute To The Kings Tribute,no,277
lftg-6-2008-santana-tribute,lftg-6-2008,LFTG 6 (2008),Santana Tribute,Santana Tribute,no,287
lftg-6-2008-radiohead-tribute,lftg-6-2008,LFTG 6 (2008),Radiohead Tribute,Radiohead Tribute,no,297
lftg-6-2008-the-white-stripes-tribute,lftg-6-2008,LFTG 6 (2008),The White Stripes Tribute,The White Stripes Tribute,no,297
lftg-6-2008-rage-against-the-machine-tribute,lftg-6-2008,LFTG 6 (2008),Rage Against The Machine Tribute,Rage Against The Machine Tribute,no,304
lftg-7-2009-the-50-s-the-birth-of-rock,lftg-7-2009,LFTG 7 (2009),The 50's - The Birth of Rock,The 50's - The Birth of Rock,no,325
lftg-7-2009-the-60-s-female-vocalists,lftg-7-2009,LFTG 7 (2009),The 60's - Female Vocalists,The 60's - Female Vocalists,no,335
