performer_id,performer_name
aaron-dolman,Aaron Dolman
adam-olivera,Adam Olivera
aidan-rosenberg,Aidan Rosenberg
aiden-chabot,Aiden Chabot
aimee-ben-jacob,Aimee Ben-Jacob
aj-davies-jordan,AJ Davies-Jordan
alex-the-pompadour-kasirer-smibert,"Alex ""The Pompadour"" Kasirer-Smibert"
alex-guay-robitaille,Alex Guay-Robitaille
allan-gilmour,Allan Gilmour
amanda-fitch,Amanda Fitch
angela-murphy,Angela Murphy
angus-carmichael,Angus Carmichael
anita-haurie,Anita Haurie
anna-chuprun,Anna Chuprun
annie-delaney,Annie Delaney
anton-samoylenko,Anton Samoylenko
ariel-blum,Ariel Blum
arnold-dort,Arnold Dort
aubrey-rosenhek,Aubrey Rosenhek
audrey-leduc,Audrey Leduc
aura-burko,Aura Burko
austin-tex,Austin Tex
basil-charbonneau,Basil Charbonneau
ben-bisaillon,Ben Bisaillon
ben-hopper,Ben Hopper
benet-fraderabrunet,Benet Fraderabrunet
benjamin-cere,Benjamin Cere
benjamin-dumas-boisvert,Benjamin Dumas-Boisvert
benjamin-groth,Benjamin Groth
benjamin-mak,Benjamin Mak
benjamin-wexler,Benjamin Wexler
bill-kreklewetz,Bill Kreklewetz
bloodshot-bill,Bloodshot Bill
brian-nolan,Brian Nolan
bruce-pascal,Bruce Pascal
belen-keuroglian,Bélen Keuroglian
campbell-rolian,Campbell Rolian
cara-webb,Cara Webb
carl-brabander,Carl Brabander
carlos-hernandez-zapien,Carlos Hernandez-Zapien
carly-leblanc,Carly Leblanc
cass-rosenhek,Cass Rosenhek
catherine-drummond,Catherine Drummond
ceci-nolan,Ceci Nolan
cedric-rolland,Cedric Rolland
ceren-unal,Ceren Unal
charles-phelan,Charles Phelan
charley-hausknost,Charley Hausknost
charlie-etinson,Charlie Etinson
chiara-klein,Chiara Klein
chiara-saulgrain,Chiara Saulgrain
chloe-soldevila,Chloe Soldevila
chris-kreklewetz,Chris Kreklewetz
christian-buchanan,Christian Buchanan
christina-sciascia,Christina Sciascia
clara-stewart,Clara Stewart
cliff-caporale,Cliff Caporale
colette-blain,Colette Blain
connor-mccuiston,Connor Mccuiston
conrad-corning,Conrad Corning
corey-lesk,Corey Lesk
dan-laxer,Dan Laxer
dan-wolfensohn,Dan Wolfensohn
danny-labrecque,Danny Labrecque
daphne-cliche,Daphné Cliche
darquis-rivard,Darquis Rivard
david-greenstein,David Greenstein
djuna-johnson,Djuna Johnson
dominic-supino,Dominic Supino
donna-malin,Donna Malin
dora-lynn-marga,Dora-Lynn Marga
doug-stein,Doug Stein
drazen-sedlar,Drazen Sedlar
drew-krip,Drew Krip
dylan-cavell,Dylan Cavell
dylan-kimmel,Dylan Kimmel
dylan-labrecque,Dylan Labrecque
dylan-langburt,Dylan Langburt
edwin-roberts,Edwin Roberts
eileen-o-reilly,Eileen O'Reilly
eli-gutfeld,Eli Gutfeld
elia-nissan,Elia Nissan
elijah-morson,Elijah Morson
ella-wolput,Ella Wolput
elyse-gasco,Elyse Gasco
emico-berman,Emico Berman
emma-durham,Emma Durham
emma-tabah,Emma Tabah
eric-black,Eric Black
erica-patulli,Erica Patulli
ethan-botner,Ethan Botner
ethan-kimmel,Ethan Kimmel
ethan-mackay,Ethan Mackay
eva-nolan,Eva Nolan
evan-bowie,Evan Bowie
fergus-nolan,Fergus Nolan
finn-brennan-krip,Finn Brennan-Krip
fish,Fish
flavio-nahas,Flavio Nahas
fred-bouchard,Fred Bouchard
fred-brackett,Fred Brackett
gabriel-mah,Gabriel Mah
geordie-buch-frohlich,Geordie Buch-Frohlich
george-koutsaris,George Koutsaris
griffin-patterson,Griffin Patterson
hank-guay,Hank Guay
harrison-magder,Harrison Magder
henry-rebellati-mitnick,Henry Rebellati-Mitnick
howard-mitnick,Howard Mitnick
illian-stamm-emond,Illian Stamm Emond
irwin-edelstein,Irwin Edelstein
isabella-byrne,Isabella Byrne
jack-melkerson,Jack Melkerson
jackson-hawes,Jackson Hawes
jaclyn-gordon,Jaclyn Gordon
jacob-dahan,Jacob Dahan
jake-kimmel,Jake Kimmel
jake-philippas,Jake Philippas
james-dahan,James Dahan
james-simpkin,James Simpkin
james-stein-webb,James Stein Webb
james-matthew-patulli,James-Matthew Patulli
jasmine-stein-webb,Jasmine Stein Webb
jason-spiegler,Jason Spiegler
jay-blumenstein,Jay Blumenstein
jay-bradley,Jay Bradley
jay-ross,Jay Ross
jean-boisvert,Jean Boisvert
jeffrey-rezzara,Jeffrey Rezzara
jeremy-wallace,Jeremy Wallace
jeremy-wexler,Jeremy Wexler
jerry-golick,Jerry Golick
jesse-lund,Jesse Lund
jiwon-shin,Jiwon Shin
joanne-hannan,Joanne Hannan
joaquin-de-pol,Joaquin De Pol
john-bowie,John Bowie
joj-helfer,Joj Helfer
jonah-levy,Jonah Levy
jonah-smith,Jonah Smith
jonas-wolfensohn,Jonas Wolfensohn
jonathan-feist,Jonathan Feist
jordan-bouganim,Jordan Bouganim
jordan-edelstein,Jordan Edelstein
jordi-soldevila,Jordi Soldevila
jordy-soldevila,Jordy Soldevila
jorge-flores,Jorge Flores
jorge-torrealba,Jorge Torrealba
juan-alvina,Juan Alvina
juan-olivera,Juan Olivera
jude-rosenhek,Jude Rosenhek
julia-durham,Julia Durham
katie-simco,Katie Simco
ken-drummond,Ken Drummond
kenny-drummond,Kenny Drummond
kira-gilmore,Kira Gilmore
kit-styles,Kit Styles
lara-atabek,Lara Atabek
lara-clarke-gascon,Lara Clarke-Gascon
laura-holden,Laura Holden
le-huan-tran,Le Huan Tran
lee-ann-matthews,Lee-Ann Matthews
leo-mitnick,Leo Mitnick
leo-rupert,Leo Rupert
leo-wolfson,Leo Wolfson
leon-uchoa,Leon Uchoa
lev-king,Lev King
lev-wexler,Lev Wexler
liam-beers,Liam Beers
lij,Lij
lilah-goodman,Lilah Goodman
lilah-rupert,Lilah Rupert
linda-durham,Linda Durham
linda-jewers,Linda Jewers
louis-guay-robitaille,Louis Guay-Robitaille
luc-bisaillon,Luc Bisaillon
lucy-vincent,Lucy Vincent
lukas,Lukas
malcolm-findlay,Malcolm Findlay
marc-kimmel,Marc Kimmel
marcel-aulls,Marcel Aulls
marie-kametani,Marie Kametani
mario-giulione,Mario Giulione
mark-charbonneau,Mark Charbonneau
mark-trudel,Mark Trudel
marla-caplan,Marla Caplan
mason-pascal,Mason Pascal
mathew-aisen,Mathew Aisen
matt-aisen,Matt Aisen
matthew-patulli,Matthew Patulli
max-basu,Max Basu
max-ezerzer,Max Ezerzer
maya-gilmore,Maya Gilmore
maya-gilmour,Maya Gilmour
mehmet-babahan,Mehmet Babahan
mia-macdonald,Mia MacDonald
michael-langburt,Michael Langburt
michael-o-hanley,Michael O'hanley
michael-sayegh,Michael Sayegh
mike-elman,Mike Elman
mike-fitch,Mike Fitch
mila-putterman,Mila Putterman
milo-klein,Milo Klein
miranda-macdonald,Miranda MacDonald
moe-clark,Moe Clark
molly-deutch,Molly Deutch
nadim-hashim,Nadim Hashim
natasha-rose,Natasha Rose
nathalie-gervais,Nathalie Gervais
nic-perry,Nic Perry
nick-hemsworth,Nick Hemsworth
nick-trudel,Nick Trudel
nicolas-latraverse,Nicolas Latraverse
nicolas-martinet,Nicolas Martinet
noah-barer,Noah Barer
noah-peled-fostokjian,Noah Peled-Fostokjian
noah-zigby,Noah Zigby
noam-alon,Noam Alon
nora-plante,Nora Plante
oliver-cook,Oliver Cook
oscar-aziz,Oscar Aziz
oscar-johnson,Oscar Johnson
pascal-spiegler,Pascal Spiegler
patrick-houston,Patrick Houston
patrick-steverman,Patrick Steverman
peter-cervini,Peter Cervini
peter-schmidt,Peter Schmidt
phil-vennat,Phil Vennat
pietro-loraschi,Pietro Loraschi
quincy-philippas,Quincy Philippas
rachelle-dusablon-ouellet,Rachelle Dusablon-Ouellet
rachelle-lapointe,Rachelle Lapointe
rapha-davidson,Rapha Davidson
raphael-marques,Raphael Marques
raymond-lee,Raymond Lee
renato-robert,Renato Robert
rick-collins,Rick Collins
riley-cohen,Riley Cohen
riley-goldsmith,Riley Goldsmith
rob-drummond,Rob Drummond
rob-surridge,Rob Surridge
robin-kreklewetz,Robin Kreklewetz
roma-burdman-gelgor,Roma Burdman-Gelgor
ron-baluch,Ron Baluch
ronen-devashi,Ronen Devashi
ryan-adessky,Ryan Adessky
ryan-luxenberg,Ryan Luxenberg
ryan-ortizo,Ryan Ortizo
sam-arkush,Sam Arkush
sam-bock,Sam Bock
sam-gyetvay,Sam Gyetvay
sam-trowbridge,Sam Trowbridge
samantha-backman,Samantha Backman
sami-sugiarta,Sami Sugiarta
sammy-rupert,Sammy Rupert
sarah-daumas,Sarah Daumas
sarah-elman,Sarah Elman
sasha-sebe,Sasha Sebe
saskia-gaucher,Saskia Gaucher
sean-ali-tse,Sean Ali-Tse
sean-madden,Sean Madden
sean-roberts,Sean Roberts
shane-brown,Shane Brown
shawn-payette,Shawn Payette
simon-durham,Simon Durham
simon-germain,Simon Germain
sonia-miquelon,Sonia Miquelon
sonya-shiller,Sonya Shiller
sophie-doyle,Sophie Doyle
stephen-david-bracewell-mclauchlin,Stephen David Bracewell McLauchlin
steve,Steve
steve-herskovitz,Steve Herskovitz
steve-lubotta,Steve Lubotta
steven-lubotta,Steven Lubotta
sylvie-choquette,Sylvie Choquette
sebastien-latraverse,Sébastien Latraverse
theo-mclauchlin,Theo McLauchlin
theo-schneider,Theo Schneider
thomas-drouin,Thomas Drouin
thomas-hopper,Thomas Hopper
thomas-martinet,Thomas Martinet
thomas-rolian,Thomas Rolian
thomas-skovsbo,Thomas Skovsbo
tim-dougherty,Tim Dougherty
tim-smith,Tim Smith
tina-hart,Tina Hart
tina-hartt,Tina Hartt
tomek-shiller,Tomek Shiller
trevor-hooton,Trevor Hooton
tristan-hemsworth,Tristan Hemsworth
tristan-supino,Tristan Supino
vanessa-salvo,Vanessa Salvo
vika-tsukanova,Vika Tsukanova
vincent-freeman,Vincent Freeman
vizma-ingelevics,Vizma Ingelevics
wayne-hemsworth,Wayne Hemsworth
will-dodge,Will Dodge
william-batory-bernardin,William Batory-Bernardin
william-gaucher,William Gaucher
william-mcintyre,William McIntyre
yasmine-kamen,Yasmine Kamen
zach-rehany,Zach Rehany
zachary-botbol,Zachary Botbol
zander-brais,Zander Brais
zander-smith,Zander Smith
zayd-al-fakhuri,Zayd Al-Fakhuri
zoe-provost,Zoe Provost
zografos-caramanos,Zografos Caramanos
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Henry Rebellati-Mitnick
