show_id,show_label,band_id,band_name,song_order,song_raw,is_original_flagged
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-magnetic-field,Magnetic Field,1,** Do I Wanna Know? (Arctic Monkeys),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-magnetic-field,Magnetic Field,2,Mary (Alex G),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-magnetic-field,Magnetic Field,3,Iron Man (Black Sabbath),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-red-hot-chicken-nuggets,Red Hot Chicken Nuggets,1,** Creep (Radiohead),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-red-hot-chicken-nuggets,Red Hot Chicken Nuggets,2,Come Together (The Beatles),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-red-hot-chicken-nuggets,Red Hot Chicken Nuggets,3,Enter Sandman (Metallica),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-easy-riders,The Easy Riders,1,** Blues Theme (Davie Allan & the Arrows),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-easy-riders,The Easy Riders,2,Guitare Jet (Les Jaguars),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-messy-pearls,The Messy Pearls,1,** Hard Times (Paramore),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-messy-pearls,The Messy Pearls,2,Mess Around (Cage The Elephant),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-messy-pearls,The Messy Pearls,3,Here It Goes Again (Ok Go),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-overworld-solo,Overworld,1,** Zelda Theme,no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-overworld-solo,Overworld,2,Kokiri Forest,no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-overworld-solo,Overworld,3,Delfino Plaza,no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-overworld-solo,Overworld,4,Mario Theme,no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-sarcastics-featuring-wolf-and-sohn,The Sarcastics (featuring Wolf and Sohn),1,** Criminal (Fiona Apple),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-sarcastics-featuring-wolf-and-sohn,The Sarcastics (featuring Wolf and Sohn),2,Vampire (Olivia Rodrigo),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-freight-train,Freight Train,1,** Please Please Please Let Me Get What I Want (Deftones),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-freight-train,Freight Train,2,When The Sun Hits (Slowdive),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-freight-train,Freight Train,3,Say It Ain't So (Weezer),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-broken-picks,The Broken Picks,1,** About A Girl (Nirvana),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-broken-picks,The Broken Picks,2,Gone Away (The Offspring),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-broken-picks,The Broken Picks,3,She Don't Use Jelly (The Flaming Lips),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-april-sky,April Sky,1,** Apple Pie (Lizzy McAlpine),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-april-sky,April Sky,2,Angelina (Lizzy McAlpine),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-sour-apples,Sour Apples,1,** 1979 (The Smashing Pumpkins),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-sour-apples,Sour Apples,2,Karma Police (Radiohead),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-sour-apples,Sour Apples,3,Dear Arkansas Daughter (Lady Lamb),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-wrong,The Wrong,1,** Cold Hard Bitch (Jet),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-wrong,The Wrong,2,Jerk Off (Tool),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-wrong,The Wrong,3,Killing In The Name Of (Rage Against The Machine),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-sonic-shower,Sonic Shower,1,** Knives Out (Radiohead),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-sonic-shower,Sonic Shower,2,Your Needs,no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-sonic-shower,Sonic Shower,3,My Needs (Noah Kahan),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-sonic-shower,Sonic Shower,4,Number 13 (Nothing But Thieves),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-crossfire-hurricane,Crossfire Hurricane,1,** Nautical Disaster (The Tragically Hip),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-crossfire-hurricane,Crossfire Hurricane,2,Sense Working Overtime (XTC),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-crossfire-hurricane,Crossfire Hurricane,3,Heroes (David Bowie),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-cruelest-line,The Cruelest Line,1,** Hard Working Man (Marcus King),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-cruelest-line,The Cruelest Line,2,Live Forever (Oasis),no
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-cruelest-line,The Cruelest Line,3,In My Head (Queens Of The Stone Age),no
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-sarah-elman,Sarah Elman,1,** Greenhouse (The Bros. Landreth),no
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-sarah-elman,Sarah Elman,2,No Time To Sleep (Tina Dickow),no
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-mental-metal,Mental Metal,1,** London Calling (The Clash),no
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-mental-metal,Mental Metal,2,Anyone Can Play Guitar (Radiohead),no
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-mental-metal,Mental Metal,3,Basket Case (Green Day),no
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-marcil-playground,Marcil Playground,1,** Wipe Out (The Ventures),no
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-marcil-playground,Marcil Playground,2,Spiderman!,no
